Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2014-06-08,651.0,651.7,658.9,648.7,3310.0,-0.001,92.11171825766009,69.8853988647461,1252.0999755859375
2014-06-09,644.3,651.0,652.1,639.1,3260.0,-0.0103,92.11171825766009,75.93278503417969,1253.5
2014-06-10,655.6,644.3,661.4,641.7,3560.0,0.0175,92.11171825766009,114.51898193359376,1259.800048828125
2014-06-11,643.0,655.6,663.0,642.3,3800.0,-0.0192999999999999,92.11171825766009,130.0640106201172,1260.800048828125
2014-06-12,597.1,643.0,643.8,591.1,4590.0,-0.0713,92.11171825766009,87.9742202758789,1273.5999755859375
2014-06-13,610.3,597.1,619.1,594.9,7550.0,0.0220999999999999,92.11171825766009,99.44561767578124,1273.699951171875
2014-06-14,583.4,610.3,613.8,563.7,5000.0,-0.0441,92.11171825766009,74.20626831054688,1273.699951171875
2014-06-15,582.3,583.4,587.8,560.8,3940.0,-0.0019,92.11171825766009,65.59539794921875,1273.699951171875
2014-06-16,599.1,582.3,606.1,580.5,3990.0,0.0288,92.11171825766009,135.30911254882812,1274.9000244140625
2014-06-17,605.1,599.1,608.4,594.9,3000.0,0.01,92.11171825766009,207.0354766845703,1271.699951171875
2014-06-18,606.2,605.1,614.4,603.6,3310.0,0.0019,92.11171825766009,144.5634307861328,1272.4000244140625
2014-06-19,600.2,606.2,612.6,598.7,5600.0,-0.01,92.11171825766009,104.74522399902344,1313.699951171875
2014-06-20,590.8,600.2,602.0,587.1,2150.0,-0.0157,92.11171825766009,143.6958465576172,1316.199951171875
2014-06-21,597.0,590.8,599.2,584.8,2280.0,0.0106,92.11171825766009,89.03101348876953,1316.199951171875
2014-06-22,603.6,597.0,610.1,592.0,2040.0,0.011,92.11171825766009,102.8747787475586,1316.199951171875
2014-06-23,591.2,603.6,604.7,582.9,2650.0,-0.0206,92.11171825766009,129.00125122070312,1318.0
2014-06-24,588.8,591.2,595.7,585.4,3080.0,-0.0040999999999999,92.11171825766009,155.02163696289062,1320.9000244140625
2014-06-25,568.5,588.8,589.6,566.9,3090.0,-0.0345,92.11171825766009,94.64479064941406,1322.199951171875
2014-06-26,582.7,568.5,582.7,565.8,4150.0,0.0250999999999999,92.11171825766009,95.01924896240234,1316.0999755859375
2014-06-27,602.2,582.7,603.9,580.1,3390.0,0.0335,92.11171825766009,136.6387939453125,1319.0
2014-06-28,597.6,602.2,608.8,594.0,2940.0,-0.0078,92.11171825766009,76.96761322021484,1319.0
2014-06-29,601.1,597.6,604.3,593.2,2890.0,0.0059,92.11171825766009,91.17159271240234,1319.0
2014-06-30,635.1,601.1,637.3,596.5,3830.0,0.0567,92.11171825766009,84.09903717041016,1321.800048828125
2014-07-01,643.2,635.1,652.5,634.1,4110.0,0.0127,95.26182102688914,127.72338104248048,1326.4000244140625
2014-07-02,645.7,643.2,652.1,604.6,4780.0,0.0039,95.26182102688914,134.72164916992188,1330.699951171875
2014-07-03,638.0,645.7,646.4,633.6,4010.0,-0.0118999999999999,95.26182102688914,93.11001586914062,1320.4000244140625
2014-07-04,624.0,638.0,642.2,623.0,3600.0,-0.0220999999999999,95.26182102688914,92.0157699584961,1320.4000244140625
2014-07-05,623.0,624.0,627.8,619.7,3250.0,-0.0016,95.26182102688914,73.1883316040039,1320.4000244140625
2014-07-06,626.7,623.0,629.4,622.7,2700.0,0.0059,95.26182102688914,90.96295928955078,1320.4000244140625
2014-07-07,613.6,626.7,627.9,607.3,2530.0,-0.0208,95.26182102688914,124.0274887084961,1316.5
2014-07-08,615.3,613.6,619.7,609.3,3210.0,0.0028,95.26182102688914,114.51898193359376,1316.0
2014-07-09,623.0,615.3,623.8,610.5,3070.0,0.0125,95.26182102688914,109.20553588867188,1323.800048828125
2014-07-10,618.4,623.0,625.0,611.7,3610.0,-0.0074,95.26182102688914,75.13040161132812,1338.699951171875
2014-07-11,632.9,618.4,633.6,616.1,3120.0,0.0235,95.26182102688914,116.42811584472656,1337.0
